age,job,credit_amount,duration,housing,saving_accounts,checking_account,purpose,risk
69,0,19393,63,own,moderate,little,repairs,bad
24,2,11466,9,free,little,little,repairs,good
24,1,7827,63,own,moderate,moderate,education,bad
65,0,9370,56,rent,moderate,moderate,radio/TV,good
24,2,6001,18,own,little,moderate,education,good
21,1,13260,24,own,moderate,rich,domestic appliances,good
41,2,7170,55,own,quite rich,moderate,repairs,good
70,1,11199,18,own,quite rich,moderate,business,good
57,3,7553,34,own,little,moderate,domestic appliances,good
24,0,6584,50,own,little,rich,education,good
65,3,19412,48,own,moderate,moderate,vacation/others,good
66,0,7078,65,own,little,rich,business,good
63,2,1642,11,rent,quite rich,little,vacation/others,good
69,1,7727,24,rent,little,little,repairs,good
32,1,10759,70,rent,quite rich,moderate,radio/TV,bad
73,0,2119,42,own,little,little,vacation/others,good
36,2,6287,20,own,little,little,education,good
63,0,3529,23,free,rich,rich,furniture/equipment,good
51,2,10137,27,own,quite rich,little,radio/TV,good
62,2,14531,41,own,quite rich,little,radio/TV,good
54,3,19377,23,free,rich,little,business,good
54,2,7934,46,free,little,little,car,good
53,1,17299,34,own,little,moderate,education,good
62,2,4487,45,rent,little,rich,repairs,good
60,3,15664,14,own,little,rich,car,good
26,1,11362,46,rent,little,moderate,repairs,bad
65,0,15223,66,own,rich,moderate,business,good
49,3,15171,13,own,little,little,education,good
37,0,10765,26,rent,little,rich,repairs,good
47,2,5334,51,own,little,little,radio/TV,good
73,0,10642,45,rent,little,little,furniture/equipment,bad
67,0,16579,49,own,little,rich,car,good
65,3,19420,42,rent,moderate,rich,radio/TV,good
44,0,18568,50,rent,little,little,education,bad
62,2,3833,45,own,moderate,moderate,car,good
40,2,12048,9,rent,quite rich,little,vacation/others,good
57,0,2315,55,own,moderate,little,repairs,good
54,0,13461,34,own,moderate,little,radio/TV,good
32,3,19848,7,own,little,little,vacation/others,good
33,2,1288,31,rent,little,moderate,furniture/equipment,good
22,0,13217,33,rent,little,little,vacation/others,bad
26,3,18924,9,free,rich,moderate,radio/TV,good
43,1,16981,71,rent,moderate,little,domestic appliances,bad
45,0,8001,19,free,little,rich,domestic appliances,good
28,3,2302,26,own,little,moderate,vacation/others,good
42,0,18497,33,free,quite rich,rich,radio/TV,bad
52,2,18446,60,rent,moderate,little,vacation/others,bad
32,3,11684,54,own,moderate,moderate,radio/TV,good
37,2,19583,56,rent,quite rich,moderate,radio/TV,bad
39,2,341,20,own,moderate,little,education,good
47,1,12428,61,own,moderate,little,education,bad
39,0,1011,60,own,little,little,radio/TV,bad
60,2,18729,35,own,little,little,furniture/equipment,bad
37,3,13688,41,own,rich,little,domestic appliances,good
43,0,18290,6,rent,moderate,little,repairs,bad
40,3,11362,55,rent,little,little,car,bad
29,1,1894,69,own,moderate,moderate,car,good
57,2,774,36,own,little,little,vacation/others,good
32,0,6877,40,own,quite rich,little,car,good
35,2,14933,37,own,little,moderate,domestic appliances,good
63,0,3232,9,rent,quite rich,little,business,good
72,1,17079,46,own,little,little,radio/TV,bad
56,2,4979,53,rent,little,little,domestic appliances,good
70,0,10054,67,rent,little,little,car,bad
66,1,4260,67,rent,quite rich,little,business,good
45,2,9448,37,rent,little,little,education,bad
62,0,9180,69,own,little,little,business,good
37,1,358,39,rent,moderate,rich,business,good
44,1,11464,47,rent,little,rich,radio/TV,good
48,2,15786,44,rent,little,little,car,bad
72,3,18741,71,rent,little,little,radio/TV,bad
66,3,6781,54,rent,quite rich,little,furniture/equipment,good
46,0,17641,12,free,little,moderate,repairs,bad
55,0,17605,8,own,little,moderate,furniture/equipment,good
30,0,19770,31,rent,little,little,vacation/others,bad
64,2,7617,39,rent,little,little,repairs,good
49,0,17055,49,own,little,little,radio/TV,bad
48,0,11410,36,free,little,rich,vacation/others,bad
61,3,1400,38,own,little,rich,business,good
54,3,5589,66,rent,little,little,domestic appliances,good
23,3,13523,26,own,quite rich,moderate,furniture/equipment,good
35,1,3421,37,own,little,little,radio/TV,bad
28,2,8835,41,rent,little,moderate,repairs,bad
60,2,15554,35,own,quite rich,rich,business,good
20,0,3207,69,own,quite rich,little,radio/TV,good
30,2,10057,69,own,moderate,little,education,bad
52,2,4493,38,own,little,moderate,radio/TV,good
57,1,10845,34,rent,little,little,furniture/equipment,good
47,3,5004,44,rent,little,moderate,domestic appliances,good
67,2,19316,16,own,little,little,furniture/equipment,bad
70,2,1764,32,rent,little,rich,domestic appliances,good
26,2,19280,18,own,moderate,little,radio/TV,good
72,3,15889,13,rent,little,little,radio/TV,good
53,2,17148,10,own,moderate,little,business,good
54,1,17067,43,own,little,little,radio/TV,bad
24,3,3955,4,own,little,little,education,good
53,2,18639,47,rent,moderate,moderate,education,good
59,3,11986,33,own,quite rich,little,education,good
51,0,19252,28,own,little,little,radio/TV,bad
23,1,17593,56,rent,moderate,little,business,bad
48,3,11697,40,rent,little,little,furniture/equipment,good
71,2,7645,53,own,little,rich,radio/TV,good
59,3,2566,52,rent,moderate,rich,business,good
26,0,2246,6,rent,little,little,radio/TV,good
72,0,7946,18,own,little,moderate,education,good
72,3,16266,42,rent,little,moderate,car,good
28,1,10230,70,own,little,rich,repairs,bad
63,2,9764,14,rent,little,little,business,good
41,1,5077,11,own,little,little,education,good
52,1,11396,67,rent,rich,little,repairs,good
43,3,12851,69,own,moderate,rich,business,good
62,0,19647,15,own,little,moderate,radio/TV,good
74,3,14655,31,free,little,little,domestic appliances,good
63,3,12242,46,own,moderate,little,car,good
71,2,18224,17,rent,little,moderate,education,good
71,1,8643,26,free,little,rich,education,good
24,0,18715,30,rent,moderate,little,business,bad
33,2,7557,47,own,little,moderate,education,good
59,1,2773,24,rent,little,little,furniture/equipment,good
52,0,8497,32,own,little,little,education,good
21,1,2793,23,own,little,moderate,business,good
24,3,2588,55,rent,little,moderate,furniture/equipment,bad
48,1,17653,14,rent,quite rich,rich,domestic appliances,good
53,0,15946,19,own,little,little,vacation/others,good
28,2,4618,20,own,moderate,little,domestic appliances,good
28,0,16794,65,rent,moderate,little,business,bad
26,3,1610,68,rent,little,little,repairs,good
50,3,5866,38,own,little,little,education,good
19,3,14195,14,rent,little,little,education,good
51,3,6249,55,own,moderate,little,education,good
45,0,14677,37,own,little,little,business,good
45,0,17518,61,rent,moderate,little,vacation/others,bad
57,1,1554,28,free,quite rich,moderate,radio/TV,good
48,1,723,71,own,moderate,little,vacation/others,good
59,3,18815,58,own,rich,moderate,education,good
61,2,10529,19,own,moderate,rich,repairs,good
70,2,10252,53,rent,quite rich,moderate,radio/TV,good
63,3,9407,23,own,quite rich,little,domestic appliances,good
47,2,8813,27,own,moderate,little,education,good
46,1,13880,21,free,quite rich,moderate,radio/TV,good
32,1,11699,50,own,rich,moderate,radio/TV,good
52,2,3476,21,rent,little,little,business,good
26,0,12626,47,own,moderate,little,domestic appliances,bad
71,2,13449,43,rent,little,moderate,education,good
66,2,2493,55,own,quite rich,little,car,good
25,2,7690,71,own,little,moderate,car,bad
63,2,15862,4,own,quite rich,little,business,good
25,3,12469,71,rent,moderate,little,furniture/equipment,bad
59,3,2943,11,rent,rich,moderate,business,good
23,2,1041,39,own,little,little,vacation/others,good
46,1,11728,27,own,moderate,moderate,domestic appliances,good
55,0,9369,47,rent,moderate,little,vacation/others,good
59,3,19230,53,own,rich,little,domestic appliances,bad
42,3,10564,62,own,quite rich,rich,vacation/others,good
70,2,18646,31,rent,moderate,little,furniture/equipment,good
62,3,4482,67,own,moderate,little,domestic appliances,good
30,3,9084,25,own,little,rich,domestic appliances,good
56,3,3007,17,own,rich,moderate,business,good
59,2,11591,29,own,little,moderate,car,good
37,0,3972,39,own,moderate,little,business,good
60,0,9972,49,rent,moderate,little,car,good
69,0,7046,60,rent,little,moderate,radio/TV,good
64,1,3918,19,own,little,little,repairs,good
61,2,2162,24,rent,little,little,furniture/equipment,good
54,1,10363,67,own,quite rich,moderate,domestic appliances,good
34,0,18959,33,rent,little,little,vacation/others,bad
63,0,4175,20,own,little,little,business,good
39,3,8248,71,rent,moderate,little,car,bad
48,3,4685,34,own,little,little,repairs,good
36,1,16227,70,own,quite rich,moderate,repairs,bad
36,3,8444,66,own,little,rich,car,bad
27,2,19494,65,own,little,little,education,bad
72,3,5092,43,own,little,little,repairs,good
27,3,1844,58,rent,little,moderate,education,good
23,2,11754,69,rent,little,little,radio/TV,bad
71,1,13120,22,own,moderate,little,radio/TV,good
50,2,19817,6,rent,little,rich,education,good
43,1,17460,25,rent,little,moderate,education,bad
60,1,17712,47,rent,little,little,furniture/equipment,bad
40,2,12776,41,rent,little,rich,furniture/equipment,good
26,2,7356,9,rent,rich,little,repairs,good
59,2,8723,42,own,little,rich,business,good
28,1,2891,15,rent,rich,moderate,furniture/equipment,good
49,1,8763,38,free,little,moderate,furniture/equipment,bad
72,0,7447,43,own,little,rich,business,good
71,2,959,47,own,little,moderate,education,good
39,2,4288,32,own,little,little,vacation/others,good
62,3,10808,31,free,moderate,little,business,good
53,2,7544,50,own,little,moderate,vacation/others,good
45,1,19872,54,rent,little,moderate,furniture/equipment,bad
26,0,9700,58,rent,moderate,little,radio/TV,bad
40,0,19184,26,free,moderate,moderate,furniture/equipment,bad
55,1,13299,32,own,rich,moderate,car,good
74,1,1047,26,rent,rich,little,business,good
19,1,4268,39,rent,moderate,little,education,good
59,1,14189,12,own,quite rich,little,car,good
66,3,11016,33,rent,moderate,little,furniture/equipment,good
72,0,6209,16,own,little,little,furniture/equipment,good
42,1,10561,40,rent,moderate,little,domestic appliances,bad
25,0,18084,61,own,little,little,domestic appliances,bad
34,1,7926,71,own,moderate,little,radio/TV,bad
66,2,1141,34,own,rich,moderate,vacation/others,good
68,0,6391,7,own,little,little,furniture/equipment,good
54,1,18733,19,own,quite rich,rich,repairs,good
25,0,15295,11,rent,rich,rich,domestic appliances,bad
25,3,16790,55,own,little,moderate,domestic appliances,bad
45,2,18254,70,own,little,rich,business,bad
51,0,2570,41,rent,rich,rich,vacation/others,good
20,0,5832,16,rent,rich,little,car,good
57,0,1431,5,own,little,moderate,domestic appliances,good
49,1,343,70,free,little,little,car,good
19,3,16735,25,own,moderate,moderate,domestic appliances,good
24,2,18754,11,rent,little,little,repairs,bad
44,3,3326,16,own,little,little,domestic appliances,good
59,1,14512,21,rent,little,little,radio/TV,bad
65,1,10814,48,free,little,rich,radio/TV,good
43,1,1617,64,rent,moderate,little,radio/TV,good
35,0,18335,22,rent,moderate,little,radio/TV,bad
73,3,17456,50,rent,moderate,little,radio/TV,bad
44,0,11457,8,own,moderate,little,education,good
36,1,14230,4,rent,little,moderate,car,good
43,2,8095,7,rent,little,moderate,car,good
19,0,15908,66,free,little,little,repairs,bad
35,1,9039,43,own,little,little,education,bad
47,1,19786,58,own,little,little,radio/TV,bad
70,1,1496,5,rent,little,little,furniture/equipment,good
60,0,3649,5,own,little,moderate,repairs,good
62,0,19382,61,own,little,moderate,domestic appliances,good
49,0,5953,10,own,moderate,little,education,good
25,1,6385,14,rent,moderate,moderate,furniture/equipment,good
40,0,15877,39,own,rich,little,car,bad
74,3,3989,45,own,moderate,moderate,repairs,good
21,0,10392,19,own,moderate,moderate,domestic appliances,good
68,2,5899,34,rent,little,moderate,education,good
57,2,4159,49,rent,moderate,moderate,repairs,good
34,1,19296,34,own,little,rich,radio/TV,bad
62,3,4197,30,own,little,little,furniture/equipment,good
65,0,2112,8,rent,little,little,furniture/equipment,good
21,0,13560,34,own,little,little,business,bad
24,1,17379,58,rent,little,moderate,furniture/equipment,bad
56,0,2768,46,own,moderate,moderate,repairs,good
74,1,14229,64,free,quite rich,moderate,business,good
20,1,10930,12,own,moderate,moderate,vacation/others,good
56,3,16642,4,rent,moderate,little,radio/TV,good
26,1,2757,41,own,little,moderate,car,good
55,3,19523,16,free,little,moderate,business,bad
53,3,12477,44,free,moderate,little,education,good
24,3,16882,65,rent,little,little,radio/TV,bad
57,0,7398,26,own,little,little,repairs,good
69,3,18881,41,own,little,little,furniture/equipment,bad
67,2,12620,50,rent,rich,moderate,education,good
20,3,2756,14,rent,moderate,rich,education,good
32,1,18477,65,own,little,moderate,radio/TV,bad
32,3,15966,17,own,moderate,little,domestic appliances,good
44,2,6178,58,own,little,moderate,radio/TV,good
27,0,11027,48,rent,little,moderate,car,bad
66,1,7914,13,rent,little,little,furniture/equipment,good
62,0,10984,53,rent,little,moderate,vacation/others,bad
64,3,19316,17,rent,moderate,little,domestic appliances,good
30,1,18003,44,own,little,little,furniture/equipment,bad
19,0,4506,69,own,moderate,little,car,bad
69,2,19443,68,own,little,little,radio/TV,bad
35,1,8899,63,rent,moderate,rich,vacation/others,bad
55,0,14170,37,own,moderate,little,domestic appliances,bad
69,3,15343,42,own,moderate,little,vacation/others,good
21,3,9788,24,own,moderate,little,domestic appliances,good
19,2,9268,66,own,rich,little,business,good
19,2,9263,36,rent,little,little,business,bad
27,1,17285,56,own,moderate,little,car,bad
21,2,7880,28,own,moderate,moderate,car,good
64,2,5778,54,rent,little,little,vacation/others,good
52,0,7391,19,own,little,moderate,vacation/others,good
73,0,4098,53,own,little,little,furniture/equipment,good
63,1,7982,7,own,little,moderate,education,good
72,1,2503,11,rent,little,moderate,vacation/others,good
32,0,2022,27,own,little,little,vacation/others,good
35,0,14546,36,rent,moderate,little,radio/TV,bad
66,3,1779,52,free,little,rich,business,good
32,1,11472,28,rent,quite rich,little,education,good
22,2,15652,5,own,little,moderate,vacation/others,good
56,2,14558,26,rent,moderate,little,furniture/equipment,good
63,2,9059,33,own,little,little,repairs,good
73,2,4074,40,own,little,moderate,car,good
70,1,18631,47,own,little,rich,radio/TV,good
25,3,16744,20,own,moderate,little,car,good
62,1,12341,45,own,little,moderate,domestic appliances,good
66,3,1963,46,own,rich,moderate,business,good
58,1,944,56,own,little,little,education,good
64,0,6475,39,own,moderate,little,radio/TV,good
65,3,3361,59,rent,little,little,domestic appliances,good
44,0,17242,19,free,moderate,little,radio/TV,bad
21,3,4314,52,own,little,moderate,education,good
44,0,5832,7,rent,little,little,radio/TV,good
30,0,19520,10,own,little,little,car,bad
25,2,16410,62,own,little,moderate,repairs,bad
25,3,4569,36,own,little,moderate,business,good
58,1,7824,46,own,rich,moderate,domestic appliances,good
47,0,10436,45,own,little,moderate,furniture/equipment,bad
49,0,13369,51,own,little,little,car,bad
60,3,18739,20,own,rich,moderate,vacation/others,good
49,2,17454,16,own,little,little,business,bad
54,0,19549,6,own,little,little,furniture/equipment,bad
23,1,1052,62,own,moderate,little,car,good
66,1,4918,19,own,quite rich,moderate,furniture/equipment,good
44,0,11369,43,own,moderate,moderate,domestic appliances,good
27,3,1220,34,own,little,little,business,good
64,2,7267,15,own,rich,rich,furniture/equipment,good
60,0,3283,32,own,little,moderate,business,good
21,2,18675,9,own,rich,little,car,good
29,1,1500,16,free,quite rich,moderate,education,good
19,0,3180,13,own,rich,little,radio/TV,good
34,1,4103,60,own,little,rich,vacation/others,good
24,0,3184,42,own,little,little,domestic appliances,good
58,0,11479,66,free,moderate,little,radio/TV,bad
48,3,7445,33,rent,little,little,furniture/equipment,good
73,2,18270,17,rent,little,little,business,bad
60,0,5401,45,free,rich,moderate,domestic appliances,good
53,3,10860,67,own,moderate,little,radio/TV,good
47,2,13286,40,free,little,little,education,bad
22,3,12613,5,own,little,moderate,repairs,good
22,2,15978,24,rent,little,rich,education,good
53,1,4236,66,own,little,moderate,domestic appliances,good
19,2,10272,39,own,little,little,car,bad
21,2,16061,68,free,quite rich,little,car,bad
31,2,17294,38,own,moderate,little,car,bad
68,0,12451,4,free,little,rich,repairs,good
44,1,13124,63,own,little,moderate,repairs,bad
58,0,17316,55,rent,moderate,moderate,education,bad
42,1,12591,52,free,quite rich,rich,vacation/others,good
28,0,18989,69,own,quite rich,little,furniture/equipment,bad
39,0,2769,17,free,little,moderate,vacation/others,bad
24,3,7121,65,rent,quite rich,little,vacation/others,bad
62,0,2465,19,rent,little,little,repairs,good
29,3,2038,70,own,little,little,repairs,bad
40,0,9570,17,own,quite rich,little,furniture/equipment,good
73,3,4712,41,rent,little,rich,furniture/equipment,good
52,1,8291,57,own,little,little,car,good
44,2,8897,9,own,little,moderate,education,good
49,1,12513,8,own,little,moderate,domestic appliances,good
62,1,18927,61,rent,little,moderate,furniture/equipment,bad
33,1,17025,8,own,moderate,rich,furniture/equipment,good
54,2,7721,45,rent,little,little,car,good
67,1,6680,67,free,little,little,education,good
51,2,15472,45,own,quite rich,little,education,good
44,3,2692,36,own,little,little,education,good
27,1,10924,32,rent,rich,rich,car,good
32,1,8604,47,own,little,little,car,bad
71,0,3860,42,rent,moderate,little,car,good
49,1,12424,38,rent,little,little,business,bad
35,0,6584,14,rent,quite rich,little,education,good
42,0,3915,49,own,little,moderate,radio/TV,good
51,3,13150,54,rent,quite rich,little,car,good
49,0,3690,52,rent,little,moderate,radio/TV,good
58,1,13538,9,own,moderate,moderate,business,good
33,3,3451,51,rent,little,moderate,furniture/equipment,bad
55,3,8836,53,rent,little,little,business,good
43,0,16207,16,rent,little,moderate,domestic appliances,good
71,0,4765,61,own,little,little,furniture/equipment,bad
27,1,15410,39,own,little,little,vacation/others,bad
27,2,14507,36,own,moderate,moderate,repairs,bad
44,3,18077,53,own,little,moderate,education,bad
47,0,3585,38,own,little,little,car,good
57,0,14373,41,free,little,rich,radio/TV,bad
41,1,18749,25,own,little,little,education,bad
70,3,15319,67,rent,little,moderate,education,bad
45,0,3961,69,own,moderate,rich,car,good
26,1,16487,12,own,little,moderate,repairs,good
25,0,2369,53,own,quite rich,moderate,vacation/others,good
73,0,11879,5,own,little,moderate,business,good
26,3,10078,29,rent,little,moderate,furniture/equipment,good
72,0,10738,69,free,quite rich,moderate,vacation/others,good
34,1,10511,15,rent,little,moderate,education,good
24,3,871,29,own,little,little,car,good
36,2,10286,18,rent,rich,moderate,furniture/equipment,good
53,0,18750,53,own,rich,little,vacation/others,bad
42,1,8874,35,free,moderate,rich,furniture/equipment,good
62,3,5719,44,own,little,little,car,good
53,1,19897,68,own,moderate,little,domestic appliances,bad
41,2,2205,39,own,rich,rich,repairs,good
54,2,9854,53,own,rich,little,repairs,good
73,2,10373,10,own,little,little,education,good
42,0,9689,18,free,little,moderate,vacation/others,good
27,3,18454,68,rent,little,little,business,bad
41,3,8579,62,free,little,little,car,good
66,0,19472,48,own,moderate,little,car,good
31,3,1569,29,rent,little,little,car,good
72,3,14745,17,own,little,little,domestic appliances,good
51,2,11960,61,own,little,little,radio/TV,bad
52,1,5000,57,own,little,little,vacation/others,good
36,1,4752,20,own,little,little,radio/TV,good
70,3,14463,44,rent,little,little,car,good
21,0,12842,46,own,little,moderate,vacation/others,bad
35,3,12320,36,own,rich,moderate,radio/TV,good
42,3,1253,67,rent,little,little,vacation/others,good
45,2,12058,12,own,little,little,business,good
45,1,19632,21,free,little,rich,vacation/others,bad
27,2,592,10,own,little,moderate,business,good
31,0,9512,51,rent,little,little,furniture/equipment,bad
24,3,10013,47,rent,little,little,education,bad
51,1,17960,71,rent,little,little,domestic appliances,bad
38,0,5836,40,rent,little,moderate,education,good
50,3,9642,14,rent,moderate,rich,education,good
52,2,14414,34,rent,little,rich,repairs,good
58,2,1441,10,own,little,little,radio/TV,good
49,0,16071,49,own,moderate,little,vacation/others,bad
55,3,16488,49,rent,little,little,education,bad
51,2,14463,62,own,little,little,vacation/others,bad
55,3,13051,27,own,little,little,furniture/equipment,good
53,3,15015,25,own,little,moderate,business,good
36,0,15689,8,own,little,little,radio/TV,bad
32,0,18092,32,own,rich,rich,domestic appliances,bad
63,3,8706,36,rent,rich,little,business,good
38,2,9257,55,rent,rich,little,radio/TV,good
49,1,12849,55,rent,little,rich,radio/TV,good
30,1,4063,13,own,little,moderate,vacation/others,good
43,2,17160,23,own,little,little,vacation/others,bad
48,3,15467,38,rent,little,moderate,radio/TV,good
54,0,12713,26,own,little,little,radio/TV,good
48,2,6207,5,rent,little,little,furniture/equipment,good
39,3,7116,61,own,little,little,car,bad
72,1,8840,53,free,little,little,repairs,bad
47,1,13334,39,own,little,moderate,radio/TV,good
